system,strategy,technique,size_type,mre
Hippacc,ddbs,MR,T2,0.11991057569970948
Hippacc,ddbs,MR,T3,0.09545614562794472
Hippacc,ddbs,RF,T1,0.28123332045227506
Hippacc,ddbs,RF,T2,0.12347958029487441
Hippacc,ddbs,RF,T3,0.05494639453477714
Hippacc,ddbs,SVR,T1,0.29648344627243917
Hippacc,ddbs,SVR,T2,0.1567106068654232
Hippacc,ddbs,SVR,T3,0.08907674553735515
Hippacc,ddbs,kNN,T1,0.3657794474701898
Hippacc,ddbs,kNN,T2,0.27201969782516683
Hippacc,ddbs,kNN,T3,0.21871507248636354
Hippacc,random,CART,T1,0.23563873628034696
Hippacc,random,CART,T2,0.10978494640004449
Hippacc,random,CART,T3,0.038572421584255785
Hippacc,random,KRR,T1,0.2491290687956283
Hippacc,random,KRR,T2,0.13003210388770367
Hippacc,random,KRR,T3,0.05775782919165701
Hippacc,random,MR,T1,0.23269398939148683
Hippacc,random,MR,T2,0.09835685026230749
Hippacc,random,MR,T3,0.08008374441550735
Hippacc,random,RF,T1,0.2129036228794514
Hippacc,random,RF,T2,0.10016020339928225
Hippacc,random,RF,T3,0.04106116782993548
Hippacc,random,SVR,T1,0.23821162064303592
Hippacc,random,SVR,T2,0.12800968682579542
Hippacc,random,SVR,T3,0.07596969384114206
Hippacc,random,kNN,T1,0.29302096251527465
Hippacc,random,kNN,T2,0.19097200868584438
Hippacc,random,kNN,T3,0.21871365832074577
Hippacc,rsbs,CART,T1,0.2350490471705024
Hippacc,rsbs,CART,T2,0.1402806238061963
Hippacc,rsbs,CART,T3,0.07548744354347005
Hippacc,rsbs,KRR,T1,0.22498690413428296
Hippacc,rsbs,KRR,T2,0.13862780338970968
Hippacc,rsbs,KRR,T3,0.06768260451849327
Hippacc,rsbs,MR,T1,0.2238094280107483
Hippacc,rsbs,MR,T2,0.12379835018103347
Hippacc,rsbs,MR,T3,0.10242053846209272
Hippacc,rsbs,RF,T1,0.1895305833122358
Hippacc,rsbs,RF,T2,0.11644589887374264
Hippacc,rsbs,RF,T3,0.0677919117534099
Hippacc,rsbs,SVR,T1,0.2197145662047394
Hippacc,rsbs,SVR,T2,0.1492077081763466
Hippacc,rsbs,SVR,T3,0.08874768656585012
Hippacc,rsbs,kNN,T1,0.2373992511284838
Hippacc,rsbs,kNN,T2,0.210096743705793
Hippacc,rsbs,kNN,T3,0.19296275247002245
Hippacc,sbs,CART,T1,0.2344360774864676
Hippacc,sbs,CART,T2,0.1624270837661554
Hippacc,sbs,CART,T3,0.0690768422935333
Hippacc,sbs,KRR,T1,0.2251622035795959
Hippacc,sbs,KRR,T2,0.164182982605554
Hippacc,sbs,KRR,T3,0.0656352574322321
Hippacc,sbs,MR,T1,0.2198040599000767
Hippacc,sbs,MR,T2,0.1970119720985484
Hippacc,sbs,MR,T3,0.1022688316141245
Hippacc,sbs,RF,T1,0.2375549971104408
Hippacc,sbs,RF,T2,0.1439583815459995
Hippacc,sbs,RF,T3,0.0742212827014142
Hippacc,sbs,SVR,T1,0.2385994306808698
Hippacc,sbs,SVR,T2,0.1826660839486844
Hippacc,sbs,SVR,T3,0.0973124193158639
Hippacc,sbs,kNN,T1,0.2586098367049186
Hippacc,sbs,kNN,T2,0.3290996632286057
Hippacc,sbs,kNN,T3,0.2109229286481735
Hippacc,twise,CART,T1,0.2454606397855928
Hippacc,twise,CART,T2,0.2363393955380923
Hippacc,twise,CART,T3,0.0932955691216332
Hippacc,twise,KRR,T1,0.2442786536383831
Hippacc,twise,KRR,T2,0.1581464472059752
Hippacc,twise,KRR,T3,0.0901844059313906
Hippacc,twise,MR,T1,0.2409101698463699
Hippacc,twise,MR,T2,0.1606668101088237
Hippacc,twise,MR,T3,0.0985842346928591
Hippacc,twise,RF,T1,0.2498105572088837
Hippacc,twise,RF,T2,0.1834606042244186
Hippacc,twise,RF,T3,0.0937081264936278
Hippacc,twise,SVR,T1,0.246177709857856
Hippacc,twise,SVR,T2,0.1446531320647205
Hippacc,twise,SVR,T3,0.1024190923174121
Hippacc,twise,kNN,T1,0.2632667724023355
Hippacc,twise,kNN,T2,0.2055868576346544
Hippacc,twise,kNN,T3,0.2061178052817112
Irzip,dbs,CART,T1,1.4157328376397873
Irzip,dbs,CART,T2,0.45889597873297483
Irzip,dbs,CART,T3,0.19757406883547776
Irzip,dbs,KRR,T1,2.4999084050020537
Irzip,dbs,KRR,T2,0.763781909459409
Irzip,dbs,KRR,T3,1.3281228707285442
Irzip,dbs,MR,T1,0.7871063063473761
Irzip,dbs,MR,T2,0.36716919914059054
Irzip,dbs,MR,T3,0.3293648191633899
Irzip,dbs,RF,T1,2.0474258592652474
Irzip,dbs,RF,T2,0.568165022279048
Irzip,dbs,RF,T3,0.3831851341775313
Irzip,dbs,SVR,T1,1.6883349823587266
Irzip,dbs,SVR,T2,1.3920652288005806
Irzip,dbs,SVR,T3,1.2484375485045411
Irzip,dbs,kNN,T1,2.540374904885266
Irzip,dbs,kNN,T2,1.4505898167917075
Irzip,dbs,kNN,T3,1.1748456984793192
Irzip,ddbs,CART,T1,2.8099254636899547
Irzip,ddbs,CART,T2,0.6839415989448518
Irzip,ddbs,CART,T3,0.600611695694126
Irzip,ddbs,KRR,T1,3.7403803552270904
Irzip,ddbs,KRR,T2,1.1900930573694848
Irzip,ddbs,KRR,T3,1.168660208726974
Irzip,ddbs,MR,T1,1.3230502316791504
