system,strategy,technique,size_type,var
Hippacc,dbs,SVR,T1,0.005310734835635543
Hippacc,dbs,SVR,T2,0.0014236147159930965
Hippacc,dbs,SVR,T3,5.021242377127296e-05
Hippacc,dbs,kNN,T1,0.0030470146016598663
Hippacc,dbs,kNN,T2,0.0038332400493251624
Hippacc,dbs,kNN,T3,0.0002431224153351837
Hippacc,ddbs,CART,T1,0.0059709454968185595
Hippacc,ddbs,CART,T2,0.00029930338223885933
Hippacc,ddbs,CART,T3,1.7182827667439077e-05
Hippacc,ddbs,KRR,T1,0.00528497210347683
Hippacc,ddbs,KRR,T2,9.148684206649604e-06
Hippacc,ddbs,KRR,T3,2.206854284891325e-06
Hippacc,ddbs,MR,T1,0.0028519170804700406
Hippacc,ddbs,MR,T2,1.8026520880124565e-05
Hippacc,ddbs,MR,T3,1.942362667977986e-06
Hippacc,ddbs,RF,T1,0.0031198675773274655
Hippacc,ddbs,RF,T2,3.804770870670163e-05
Hippacc,ddbs,RF,T3,6.740574079685975e-06
Hippacc,ddbs,SVR,T1,0.006239044773250449
Hippacc,ddbs,SVR,T2,7.158011425745242e-06
Hippacc,ddbs,SVR,T3,2.210641183371377e-06
Hippacc,ddbs,kNN,T1,0.006116570575676981
Hippacc,ddbs,kNN,T2,0.00016854421158447262
Hippacc,ddbs,kNN,T3,2.8975746381785393e-05
Hippacc,random,CART,T1,0.0024944029429330005
Hippacc,random,CART,T2,0.00011251698453213588
Hippacc,random,CART,T3,6.341243963582641e-06
Hippacc,random,KRR,T1,0.0011599159992791604
Hippacc,random,KRR,T2,1.9184963235433555e-05
Hippacc,random,KRR,T3,2.174466614560549e-06
Hippacc,random,MR,T1,0.0011143833976339159
Hippacc,random,MR,T2,2.1096812909942434e-05
Hippacc,random,MR,T3,3.9195550849003035e-06
Hippacc,random,RF,T1,0.0007339966833206906
Hippacc,random,RF,T2,3.9949489307992676e-05
Hippacc,random,RF,T3,3.022390927521964e-06
Hippacc,random,SVR,T1,0.0006632573926566025
Hippacc,random,SVR,T2,1.528194913591187e-05
Hippacc,random,SVR,T3,2.6554662456104927e-06
Hippacc,random,kNN,T1,0.0019503228917690722
Hippacc,random,kNN,T2,6.461052803887206e-05
Hippacc,random,kNN,T3,2.461834002487953e-05
Hippacc,rsbs,CART,T1,0.009601282827524524
Hippacc,rsbs,CART,T2,0.0002358476211402593
Hippacc,rsbs,CART,T3,2.4845980531815092e-05
Hippacc,rsbs,KRR,T1,0.0016653243132745035
Hippacc,rsbs,KRR,T2,0.00013613677958429862
