comb1,comb2,p,median_diff_combs,p_holm,p_bh,sig_holm,sig_bh
twise_MR,dbs_KRR,0.048828125,-0.08159498796273185,1.0,0.15304337686567165,False,False
rsbs_CART,rsbs_KRR,0.048828125,-0.1885319635526317,1.0,0.15304337686567165,False,False
twise_SVR,dbs_kNN,0.048828125,-0.07600583598663116,1.0,0.15304337686567165,False,False
dbs_SVR,rsbs_KRR,0.048828125,0.049316912582993894,1.0,0.15304337686567165,False,False
twise_SVR,rsbs_MR,0.048828125,0.0640784977509234,1.0,0.15304337686567165,False,False
sbs_CART,sbs_KRR,0.048828125,-0.08040809488526929,1.0,0.15304337686567165,False,False
sbs_kNN,dbs_CART,0.048828125,0.10422019352946155,1.0,0.15304337686567165,False,False
random_KRR,random_RF,0.048828125,0.13722343325219893,1.0,0.15304337686567165,False,False
random_RF,ddbs_KRR,0.048828125,-0.19952413549035652,1.0,0.15304337686567165,False,False
ddbs_RF,rsbs_CART,0.048828125,0.041306694355843374,1.0,0.15304337686567165,False,False
random_CART,ddbs_MR,0.048828125,-0.11322655123301448,1.0,0.15304337686567165,False,False
twise_MR,sbs_KRR,0.048828125,-0.2075700701474673,1.0,0.15304337686567165,False,False
ddbs_CART,rsbs_KRR,0.048828125,-0.22184929745940804,1.0,0.15304337686567165,False,False
random_SVR,dbs_kNN,0.048828125,-0.06586184839881025,1.0,0.15304337686567165,False,False
random_kNN,twise_kNN,0.048828125,0.044309967035405975,1.0,0.15304337686567165,False,False
random_MR,rsbs_RF,0.064453125,-0.04485917367949865,1.0,0.18046874999999998,False,False
random_kNN,dbs_CART,0.064453125,0.1328735001598782,1.0,0.18046874999999998,False,False
random_KRR,twise_MR,0.064453125,0.05210599764678338,1.0,0.18046874999999998,False,False
random_SVR,rsbs_kNN,0.064453125,-0.08022138076757895,1.0,0.18046874999999998,False,False
random_MR,rsbs_MR,0.064453125,-0.01869093067724195,1.0,0.18046874999999998,False,False
random_KRR,dbs_SVR,0.064453125,-0.06781305372702491,1.0,0.18046874999999998,False,False
twise_CART,sbs_SVR,0.064453125,-0.1535895637648534,1.0,0.18046874999999998,False,False
twise_CART,dbs_CART,0.064453125,-0.04833537120200272,1.0,0.18046874999999998,False,False
rsbs_kNN,rsbs_KRR,0.064453125,0.1085931655659787,1.0,0.18046874999999998,False,False
random_CART,sbs_CART,0.064453125,-0.1269497665343739,1.0,0.18046874999999998,False,False
twise_KRR,dbs_SVR,0.064453125,-0.07810723120407663,1.0,0.18046874999999998,False,False
twise_KRR,rsbs_CART,0.064453125,0.22796091531740348,1.0,0.18046874999999998,False,False
twise_RF,dbs_RF,0.064453125,-0.0605739248733724,1.0,0.18046874999999998,False,False
twise_MR,rsbs_KRR,0.064453125,-0.05418311872824519,1.0,0.18046874999999998,False,False
sbs_KRR,ddbs_CART,0.064453125,0.1788631807214932,1.0,0.18046874999999998,False,False
dbs_CART,dbs_SVR,0.064453125,-0.11975223535698484,1.0,0.18046874999999998,False,False
