system,technique,size_type,var,proportion
JavaGC,CART,Prop0.02,2.972695113609541e-07,0.02
JavaGC,CART,Prop0.05,6.8143833346657e-08,0.05
JavaGC,CART,Prop0.1,2.7875038544705916e-08,0.1
JavaGC,CART,Prop0.15,1.8610822504363935e-08,0.15
JavaGC,CART,Prop0.2,1.3719068516116483e-08,0.2
JavaGC,KRR,Prop0.01,4.97366726856893e-05,0.01
JavaGC,KRR,Prop0.02,5.452046967456343e-06,0.02
JavaGC,KRR,Prop0.05,7.76812833844129e-07,0.05
JavaGC,KRR,Prop0.1,1.1496604552183421e-07,0.1
JavaGC,MR,Prop0.01,7.190303527034382e-05,0.01
JavaGC,MR,Prop0.02,4.1529311275938485e-05,0.02
JavaGC,MR,Prop0.05,1.696042942729845e-05,0.05
JavaGC,MR,Prop0.1,7.375655347814254e-06,0.1
JavaGC,MR,Prop0.15,4.1920180487588535e-06,0.15
JavaGC,MR,Prop0.2,3.223571738201711e-06,0.2
JavaGC,RF,Prop0.01,5.030642685792819e-07,0.01
JavaGC,RF,Prop0.02,9.396297393315848e-08,0.02
JavaGC,RF,Prop0.05,2.2219285641502666e-08,0.05
JavaGC,RF,Prop0.1,1.0597358147066339e-08,0.1
JavaGC,RF,Prop0.15,4.967831968298962e-09,0.15
JavaGC,RF,Prop0.2,4.379853549037688e-09,0.2
JavaGC,SVR,Prop0.01,0.00010093750533571838,0.01
JavaGC,SVR,Prop0.02,4.105043856459582e-05,0.02
JavaGC,SVR,Prop0.05,7.334235021354121e-06,0.05
JavaGC,SVR,Prop0.1,3.9196847116070914e-06,0.1
JavaGC,kNN,Prop0.01,0.0003053454962687084,0.01
JavaGC,kNN,Prop0.02,0.00011634183456959834,0.02
JavaGC,kNN,Prop0.05,2.749971735284905e-05,0.05
JavaGC,kNN,Prop0.1,1.562903924954553e-05,0.1
LLVM,CART,Prop0.01,0.00010248795521729671,0.01
LLVM,CART,Prop0.02,0.00010240759824073364,0.02
LLVM,CART,Prop0.05,2.129428354035117e-05,0.05
LLVM,CART,Prop0.1,6.471684322148398e-06,0.1
LLVM,CART,Prop0.15,3.010481657667364e-06,0.15
LLVM,CART,Prop0.2,2.22149830548299e-06,0.2
LLVM,KRR,Prop0.01,0.0003163587323821785,0.01
LLVM,KRR,Prop0.02,7.71899325695389e-05,0.02
LLVM,KRR,Prop0.05,1.1823895601795513e-05,0.05
LLVM,KRR,Prop0.1,5.120640615308531e-06,0.1
LLVM,KRR,Prop0.15,9.115853613193487e-07,0.15
LLVM,KRR,Prop0.2,2.127479875037017e-06,0.2
LLVM,MR,Prop0.01,0.00012647206972725208,0.01
LLVM,MR,Prop0.02,8.264598216177382e-05,0.02
LLVM,MR,Prop0.05,1.517746844936811e-05,0.05
LLVM,MR,Prop0.1,4.153516968798514e-06,0.1
LLVM,MR,Prop0.15,1.0486975967118744e-06,0.15
LLVM,MR,Prop0.2,6.339003137252321e-07,0.2
LLVM,RF,Prop0.01,6.138187328522812e-05,0.01
LLVM,RF,Prop0.02,3.604683488066441e-05,0.02
LLVM,RF,Prop0.05,1.1605147846680667e-05,0.05
LLVM,RF,Prop0.1,3.7996112198452577e-06,0.1
LLVM,RF,Prop0.15,9.985336747519186e-07,0.15
LLVM,RF,Prop0.2,7.059635833953901e-07,0.2
LLVM,SVR,Prop0.01,2.654755794318988e-05,0.01
LLVM,SVR,Prop0.02,1.5247430735959173e-05,0.02
LLVM,SVR,Prop0.05,8.352669640407973e-06,0.05
LLVM,SVR,Prop0.1,2.879756908354898e-06,0.1
LLVM,SVR,Prop0.15,1.210355742171401e-06,0.15
LLVM,SVR,Prop0.2,9.442110769777244e-07,0.2
LLVM,kNN,Prop0.01,3.637492672900585e-05,0.01
LLVM,kNN,Prop0.02,1.7204987856289042e-05,0.02
LLVM,kNN,Prop0.05,8.109387206854556e-06,0.05
LLVM,kNN,Prop0.1,5.662589088185733e-06,0.1
LLVM,kNN,Prop0.15,3.7729548053875497e-06,0.15
LLVM,kNN,Prop0.2,3.068092290173913e-06,0.2
Polly,CART,Prop0.01,9.116412222614074e-06,0.01
Polly,CART,Prop0.02,1.3670458569402226e-06,0.02
Polly,CART,Prop0.05,1.8774702241285026e-08,0.05
Polly,CART,Prop0.1,9.981455706327482e-09,0.1
Polly,CART,Prop0.15,6.269733416973179e-09,0.15
Polly,CART,Prop0.2,5.161296026504062e-09,0.2
Polly,KRR,Prop0.01,3.2410544549300234e-05,0.01
Polly,KRR,Prop0.02,9.349291108731833e-06,0.02
Polly,KRR,Prop0.05,8.722064820477314e-07,0.05
Polly,KRR,Prop0.1,2.3157795019198975e-07,0.1
Polly,KRR,Prop0.15,9.932709577352846e-08,0.15
Polly,KRR,Prop0.2,6.50666587294318e-08,0.2
Polly,MR,Prop0.01,2.2692784098234887e-05,0.01
Polly,MR,Prop0.02,5.97535199301738e-06,0.02
Polly,MR,Prop0.05,2.6118031785989383e-06,0.05
Polly,MR,Prop0.1,1.5568561260481356e-06,0.1
Polly,MR,Prop0.15,1.1115726721323005e-06,0.15
Polly,MR,Prop0.2,8.68578130026928e-07,0.2
Polly,RF,Prop0.01,4.666137703068828e-06,0.01
Polly,RF,Prop0.02,1.419064275340722e-06,0.02
Polly,RF,Prop0.05,4.166103848547407e-08,0.05
Polly,RF,Prop0.1,3.054903778137121e-09,0.1
Polly,RF,Prop0.15,1.4158308586478994e-09,0.15
Polly,RF,Prop0.2,1.0507811886956775e-09,0.2
Polly,SVR,Prop0.01,5.207926576809574e-05,0.01
Polly,SVR,Prop0.02,8.544561568078836e-06,0.02
Polly,SVR,Prop0.05,9.771948787426459e-07,0.05
Polly,SVR,Prop0.1,3.0299418134400053e-07,0.1
Polly,SVR,Prop0.15,1.3745827438672282e-07,0.15
Polly,SVR,Prop0.2,1.0070691866108031e-07,0.2
Polly,kNN,Prop0.01,5.3108239302375354e-05,0.01
Polly,kNN,Prop0.02,2.9357274067309388e-05,0.02
Polly,kNN,Prop0.05,9.641622960622416e-06,0.05
Polly,kNN,Prop0.1,5.96913053928123e-06,0.1
Polly,kNN,Prop0.15,4.509152049098932e-06,0.15
Polly,kNN,Prop0.2,5.459846680578839e-06,0.2
VP9,CART,Prop0.01,1.1964473327112818e-06,0.01
VP9,CART,Prop0.02,3.3265613971459843e-07,0.02
VP9,CART,Prop0.05,7.903346319195576e-08,0.05
VP9,CART,Prop0.1,2.772032862734479e-08,0.1
VP9,CART,Prop0.15,1.5834556968296328e-08,0.15
VP9,CART,Prop0.2,1.1382283693955694e-08,0.2
VP9,KRR,Prop0.01,0.00012517691679380977,0.01
VP9,KRR,Prop0.02,2.601720794704039e-05,0.02
VP9,KRR,Prop0.05,2.885386266826714e-06,0.05
VP9,KRR,Prop0.1,1.2017758854724267e-06,0.1
VP9,MR,Prop0.01,0.0001274405960710894,0.01
VP9,MR,Prop0.02,6.425342191824325e-05,0.02
VP9,MR,Prop0.05,2.6184700172477308e-05,0.05
VP9,MR,Prop0.1,1.410335300498647e-05,0.1
VP9,MR,Prop0.15,8.596025840513515e-06,0.15
VP9,MR,Prop0.2,5.112477472865637e-06,0.2
VP9,RF,Prop0.01,4.2487998470820676e-07,0.01
VP9,RF,Prop0.02,1.7528678655570331e-07,0.02
VP9,RF,Prop0.05,2.862490808196139e-08,0.05
VP9,RF,Prop0.1,1.0883311591560158e-08,0.1
VP9,RF,Prop0.15,6.000723362560806e-09,0.15
VP9,RF,Prop0.2,3.659788006633699e-09,0.2
VP9,SVR,Prop0.01,0.0002978118148088362,0.01
VP9,SVR,Prop0.02,0.00011204070866659226,0.02
VP9,SVR,Prop0.05,3.151524696794704e-05,0.05
VP9,SVR,Prop0.1,2.6761071360355555e-05,0.1
VP9,kNN,Prop0.01,0.007739781780566788,0.01
VP9,kNN,Prop0.02,0.0033518656464166957,0.02
VP9,kNN,Prop0.05,0.0010283847896190223,0.05
VP9,kNN,Prop0.1,0.00034122879083386623,0.1
x264,CART,Prop0.01,0.0018544004279125456,0.01
x264,CART,Prop0.02,0.00033736605977431134,0.02
x264,CART,Prop0.05,8.211177695858944e-05,0.05
x264,CART,Prop0.1,8.112287173300772e-06,0.1
x264,CART,Prop0.15,2.70513311282709e-06,0.15
x264,CART,Prop0.2,6.407156568606249e-07,0.2
x264,KRR,Prop0.01,0.001761551507516116,0.01
x264,KRR,Prop0.02,0.00032694114253211954,0.02
x264,KRR,Prop0.05,3.370667487500348e-05,0.05
x264,KRR,Prop0.1,3.2810884700784625e-06,0.1
x264,KRR,Prop0.15,7.922618444468508e-07,0.15
x264,KRR,Prop0.2,4.98749943065619e-07,0.2
x264,MR,Prop0.01,0.0021255441939820696,0.01
x264,MR,Prop0.02,0.0001756579787323304,0.02
x264,MR,Prop0.05,1.3819736627794143e-05,0.05
x264,MR,Prop0.1,6.860251644632807e-07,0.1
x264,MR,Prop0.15,2.7103965458649873e-07,0.15
x264,MR,Prop0.2,1.4943282367616118e-07,0.2
x264,RF,Prop0.01,0.0022968221852620236,0.01
x264,RF,Prop0.02,0.00035499556180834744,0.02
x264,RF,Prop0.05,3.8658337489380614e-05,0.05
x264,RF,Prop0.1,1.1983992361451394e-05,0.1
x264,RF,Prop0.15,2.7746405473769478e-06,0.15
x264,RF,Prop0.2,4.914231432650019e-07,0.2
x264,SVR,Prop0.01,0.001424292246903993,0.01
x264,SVR,Prop0.02,0.0006771351932134058,0.02
x264,SVR,Prop0.05,0.0001079236814818732,0.05
x264,SVR,Prop0.1,2.1551292477220212e-05,0.1
x264,SVR,Prop0.15,5.424638238937376e-06,0.15
x264,SVR,Prop0.2,2.8040278183629884e-06,0.2
x264,kNN,Prop0.01,0.0023711721832957934,0.01
x264,kNN,Prop0.02,0.0011212964684889691,0.02
x264,kNN,Prop0.05,0.0002941085709400543,0.05
x264,kNN,Prop0.1,6.901577336501022e-05,0.1
x264,kNN,Prop0.15,2.4742612774211013e-05,0.15
x264,kNN,Prop0.2,2.550651387807322e-05,0.2
