metric,coverage_t,sample_size_source_t,system,coverage,log10_ratio,setting
AP_ALS-PCI,3,1,LLVM,0.19981757877280262,0.0,"(3,1)"
AP_ALS-PCI,3,1,PKJab,0.138235294117647,-1.153,"(3,1)"
AP_ALS-PCI,3,1,Polly,0.2391330509481018,-6.962,"(3,1)"
AP_ALS-PCI,3,1,SQLite,0.31454977017557073,-4.8445,"(3,1)"
AP_ALS-PCI,3,1,TriMesh,0.36069645832313946,-14.79,"(3,1)"
AP_ALS-PCI,3,1,VP9,0.2601393219436356,-7.0078,"(3,1)"
AP_ALS-PCI,3,1,WGet,0.20543532338308454,-0.8062,"(3,1)"
AP_ALS-PCI,3,1,clasp,0.35193961573650495,-6.6934,"(3,1)"
AP_ALS-PCI,3,1,lrzip,0.36686129131912265,-2.7831,"(3,1)"
AP_ALS-PCI,3,1,x264,0.17507696734282832,-1.454,"(3,1)"
AP_ALS-PCI,3,1,z3,0.24474818049490532,-0.9031,"(3,1)"
AP_ALS-PCI,3,2,7z,0.6986435266008274,-8.1077,"(3,2)"
AP_ALS-PCI,3,2,AJStats,0.420631884057971,-0.9031,"(3,2)"
AP_ALS-PCI,3,2,BerkeleyDBC,0.4652918108419838,-1.7093,"(3,2)"
AP_ALS-PCI,3,2,Curl,0.3551380670611439,-0.727,"(3,2)"
AP_ALS-PCI,3,2,Dune,0.4438691043353977,-5.9694,"(3,2)"
AP_ALS-PCI,3,2,HSMGP,0.4453849360755975,-6.0944,"(3,2)"
AP_ALS-PCI,3,2,HSQLDB,0.38132402101241636,-2.181,"(3,2)"
AP_ALS-PCI,3,2,Hipacc,0.7593159209436059,-11.8247,"(3,2)"
AP_ALS-PCI,3,2,HyTeG,0.20166666666666663,-0.6021,"(3,2)"
AP_ALS-PCI,3,2,JavaGC,0.43439281288723663,-6.1524,"(3,2)"
AP_ALS-PCI,3,2,LLVM,0.504530679933665,0.0,"(3,2)"
AP_ALS-PCI,3,2,PKJab,0.27205882352941174,-1.153,"(3,2)"
AP_ALS-PCI,3,2,Polly,0.4214951902141641,-6.962,"(3,2)"
AP_ALS-PCI,3,2,SQLite,0.5532130208725793,-4.8445,"(3,2)"
AP_ALS-PCI,3,2,TriMesh,0.5670013385418028,-14.79,"(3,2)"
AP_ALS-PCI,3,2,VP9,0.45209652897673097,-7.0078,"(3,2)"
AP_ALS-PCI,3,2,WGet,0.3749830393487109,-0.8062,"(3,2)"
AP_ALS-PCI,3,2,clasp,0.42355073410883104,-6.6934,"(3,2)"
AP_ALS-PCI,3,2,lrzip,0.5868829162805066,-2.7831,"(3,2)"
AP_ALS-PCI,3,2,x264,0.3283800891957991,-1.454,"(3,2)"
AP_ALS-PCI,3,2,z3,0.4169446870451237,-0.9031,"(3,2)"
AP_ALS-PCI,3,3,7z,0.787739005155292,-8.1077,"(3,3)"
