metric,coverage_t,sample_size_source_t,kw_statistic,kw_pvalue,kw_significant,epsilon_squared,effect_strength,median_random,median_solver,median_distance,mean_random,mean_solver,mean_distance,best_strategy_by_median,worst_strategy_by_median,median_gap_best_vs_worst,dunn_random_solver,dunn_random_distance,dunn_solver_distance,pairwise_summary
AP_ALS-PCI,1,3,66.84440189384983,3.0543764017858292e-15,True,0.01029276220537299,EffectStrength.SMALL,0.8620689655172413,0.8615384615384615,0.8620689655172413,0.8679167352723409,0.8440500699426928,0.8599627385356711,random,solver,0.0005305039787798504,9.427362149036218e-16,2.1729910285129536e-05,0.00016421299772152745,random > solver; random ~ distance; distance > solver
AP_ALS-PCI,2,1,2184.8141306898515,0.0,True,0.31634987401302195,EffectStrength.LARGER,0.537,0.3333333333333333,0.4274193548387096,0.5404367872464163,0.3566442351698597,0.43144532774908995,random,solver,0.20366666666666672,0.0,3.0906618929000787e-127,3.4546870913522866e-114,random > solver; random > distance; distance > solver
AP_ALS-PCI,2,2,1384.2579723075828,2.5834528997914e-301,True,0.20032724236341778,EffectStrength.LARGER,0.7275341480948958,0.5314999999999999,0.610079575596817,0.7361298279354013,0.5725494763476833,0.6193908656850813,random,solver,0.19603414809489594,9.476346818436591e-291,2.2053715832742948e-133,1.7815415227469933e-32,random > solver; random > distance; distance > solver
AP_ALS-PCI,2,3,325.9693527977174,1.6468513691123002e-71,True,0.051423706793288476,EffectStrength.SMALL,0.7355,0.6895161290322581,0.69969040247678,0.7483992913523585,0.6813942751613074,0.69708621822595,random,solver,0.045983870967741924,3.8526356065131693e-62,5.035850241152427e-46,0.015909276294491678,random > solver; random > distance; distance > solver
AP_ALS-PCI,3,1,1387.8405456526805,4.307791060895321e-302,True,0.2008464558916928,EffectStrength.LARGER,0.3469434832756632,0.1830845771144278,0.2483670480186849,0.3578610679857502,0.21588596883604658,0.261891208676888,random,solver,0.1638589061612354,1.646619187802039e-301,4.87979515842839e-98,2.6766201802369835e-58,random > solver; random > distance; distance > solver
AP_ALS-PCI,3,2,1275.5537266317162,1.0399861996443657e-277,True,0.18457300385966902,EffectStrength.LARGER,0.5743036050197128,0.345724907063197,0.4093662166976762,0.5869395282665196,0.4063850469824717,0.4371502202321838,random,solver,0.2285786979565158,6.8227770735668985e-261,2.981448744007447e-139,6.0799748376603054e-21,random > solver; random > distance; distance > solver
AP_ALS-PCI,3,3,766.6154400338147,3.400731355666676e-167,True,0.1266758515629249,EffectStrength.MEDIUM,0.6187285798953795,0.4976050037607379,0.5121107266435985,0.6334184821025974,0.5128243593459757,0.514504946297031,random,solver,0.12112357613464164,6.149413460235726e-124,1.1423539802383207e-126,0.6364512003748664,random > solver; random > distance; solver ~ distance
Default,1,1,3025.029799133343,0.0,True,0.43812026074396276,EffectStrength.LARGER,0.7833333333333333,0.5915492957746478,0.68,0.7826259055315646,0.5921544280840074,0.6834538866453922,random,solver,0.19178403755868556,0.0,1.3073573933248706e-156,2.9466961465512453e-176,random > solver; random > distance; distance > solver
Default,1,2,1201.7103268994285,1.1269848832830099e-261,True,0.1738710618694824,EffectStrength.LARGER,0.8793103448275861,0.76,0.8333333333333333,0.8804176422143727,0.784478738941024,0.8282335479000802,random,solver,0.11931034482758607,2.269657643307645e-261,1.154877450159214e-84,4.2992994824781035e-51,random > solver; random > distance; distance > solver
Default,1,3,81.49502023620643,2.011783326414552e-18,True,0.012618257180350227,EffectStrength.SMALL,0.8732394366197181,0.8666666666666667,0.8666666666666667,0.8754897564991649,0.8513045650043152,0.8652203672845473,random,solver,0.006572769953051449,5.284148570457196e-19,9.565284793674189e-06,9.565284793674189e-06,random > solver; random > distance; solver ~ distance
