strategy,coverage_t,sample_size_source_t,metric_1,metric_2,rho,rho_abs,rho_strength,p_value,significant,n_systems
random,2,3,MDAP_MF-DF-ALS-PCI,ALS,0.6286543182325374,0.6286543182325374,Strength.MODERATE,0.00019887897451643244,True,30
random,2,3,MDAP_MF-DF-ALS-PCI,Default,0.5933943316224057,0.5933943316224057,Strength.WEAK,0.0005476388948273257,True,30
random,2,3,MDA_MF-DF-ALS,MDP_MF-DF-PCI,0.605891542066503,0.605891542066503,Strength.MODERATE,0.00038768235024118374,True,30
random,2,3,MDA_MF-DF-ALS,MD_MF-DF,0.605891542066503,0.605891542066503,Strength.MODERATE,0.00038768235024118374,True,30
random,2,3,MDA_MF-DF-ALS,AP_ALS-PCI,0.6295469761214014,0.6295469761214014,Strength.MODERATE,0.00019353347439250753,True,30
random,2,3,MDA_MF-DF-ALS,PCI,0.5942869895112698,0.5942869895112698,Strength.WEAK,0.0005345418953879982,True,30
random,2,3,MDA_MF-DF-ALS,ALS,0.6286543182325374,0.6286543182325374,Strength.MODERATE,0.00019887897451643244,True,30
random,2,3,MDA_MF-DF-ALS,Default,0.5933943316224057,0.5933943316224057,Strength.WEAK,0.0005476388948273257,True,30
random,2,3,MDP_MF-DF-PCI,MD_MF-DF,0.5960723052889979,0.5960723052889979,Strength.WEAK,0.0005091718778338515,True,30
random,2,3,MDP_MF-DF-PCI,AP_ALS-PCI,0.6045525552332068,0.6045525552332068,Strength.MODERATE,0.00040257526767019754,True,30
random,2,3,MDP_MF-DF-PCI,PCI,0.5759875027895559,0.5759875027895559,Strength.WEAK,0.0008660206247898502,True,30
random,2,3,MDP_MF-DF-PCI,ALS,0.6041062262887748,0.6041062262887748,Strength.MODERATE,0.00040765048356886373,True,30
random,2,3,MDP_MF-DF-PCI,Default,0.577326489622852,0.577326489622852,Strength.WEAK,0.0008367779331696592,True,30
random,2,3,MD_MF-DF,AP_ALS-PCI,0.6045525552332068,0.6045525552332068,Strength.MODERATE,0.00040257526767019754,True,30
random,2,3,MD_MF-DF,PCI,0.5759875027895559,0.5759875027895559,Strength.WEAK,0.0008660206247898502,True,30
random,2,3,MD_MF-DF,ALS,0.6041062262887748,0.6041062262887748,Strength.MODERATE,0.00040765048356886373,True,30
random,2,3,MD_MF-DF,Default,0.577326489622852,0.577326489622852,Strength.WEAK,0.0008367779331696592,True,30
random,2,3,AP_ALS-PCI,PCI,0.59651863423343,0.59651863423343,Strength.WEAK,0.000502997419615549,True,30
random,2,3,AP_ALS-PCI,ALS,0.6264226735103772,0.6264226735103772,Strength.MODERATE,0.00021281979501122322,True,30
random,2,3,AP_ALS-PCI,Default,0.5947333184557019,0.5947333184557019,Strength.WEAK,0.0005280973301638193,True,30
random,2,3,PCI,ALS,0.597411292122294,0.597411292122294,Strength.WEAK,0.0004908458900872377,True,30
random,2,3,PCI,Default,0.5893773711225173,0.5893773711225173,Strength.WEAK,0.0006101323374149002,True,30
random,2,3,ALS,Default,0.597411292122294,0.597411292122294,Strength.WEAK,0.0004908458900872377,True,30
random,3,1,MDAP_MF-DF-ALS-PCI,MDA_MF-DF-ALS,0.9022418228592428,0.9022418228592428,Strength.STRONG,1.7485172228072516e-12,True,32
random,3,1,MDAP_MF-DF-ALS-PCI,MDP_MF-DF-PCI,0.9000367511944138,0.9000367511944138,Strength.STRONG,2.406614910091775e-12,True,32
random,3,1,MDAP_MF-DF-ALS-PCI,MD_MF-DF,0.8996692392502755,0.8996692392502755,Strength.STRONG,2.536393966506872e-12,True,32
random,3,1,MDAP_MF-DF-ALS-PCI,AP_ALS-PCI,0.896361631753032,0.896361631753032,Strength.STRONG,4.0331180562633e-12,True,32
random,3,1,MDAP_MF-DF-ALS-PCI,PCI,0.8934215361999265,0.8934215361999265,Strength.STRONG,6.012926354071497e-12,True,32
random,3,1,MDAP_MF-DF-ALS-PCI,ALS,0.896361631753032,0.896361631753032,Strength.STRONG,4.0331180562633e-12,True,32
random,3,1,MDAP_MF-DF-ALS-PCI,Default,0.8901139287026828,0.8901139287026828,Strength.STRONG,9.295708874781907e-12,True,32
random,3,1,MDA_MF-DF-ALS,MDP_MF-DF-PCI,0.8993017273061374,0.8993017273061374,Strength.STRONG,2.67263237951194e-12,True,32
random,3,1,MDA_MF-DF-ALS,MD_MF-DF,0.8989342153619992,0.8989342153619992,Strength.STRONG,2.8156248048749942e-12,True,32
random,3,1,MDA_MF-DF-ALS,AP_ALS-PCI,0.8978316795295845,0.8978316795295845,Strength.STRONG,3.2882586685859074e-12,True,32
random,3,1,MDA_MF-DF-ALS,PCI,0.8926865123116502,0.8926865123116502,Strength.STRONG,6.632232211365557e-12,True,32
random,3,1,MDA_MF-DF-ALS,ALS,0.8978316795295845,0.8978316795295845,Strength.STRONG,3.2882586685859074e-12,True,32
random,3,1,MDA_MF-DF-ALS,Default,0.8890113928702683,0.8890113928702683,Strength.STRONG,1.071556454679137e-11,True,32
random,3,1,MDP_MF-DF-PCI,MD_MF-DF,0.9015067989709664,0.9015067989709664,Strength.STRONG,1.946602349886598e-12,True,32
random,3,1,MDP_MF-DF-PCI,AP_ALS-PCI,0.8974641675854464,0.8974641675854464,Strength.STRONG,3.4614648986753927e-12,True,32
random,3,1,MDP_MF-DF-PCI,PCI,0.8959941198088938,0.8959941198088938,Strength.STRONG,4.2423153271942325e-12,True,32
random,3,1,MDP_MF-DF-PCI,ALS,0.8970966556413081,0.8970966556413081,Strength.STRONG,3.643090960768936e-12,True,32
random,3,1,MDP_MF-DF-PCI,Default,0.8926865123116502,0.8926865123116502,Strength.STRONG,6.632232211365557e-12,True,32
random,3,1,MD_MF-DF,AP_ALS-PCI,0.89672914369717,0.89672914369717,Strength.STRONG,3.833511928905799e-12,True,32
random,3,1,MD_MF-DF,PCI,0.8956266078647557,0.8956266078647557,Strength.STRONG,4.46152602705238e-12,True,32
random,3,1,MD_MF-DF,ALS,0.89672914369717,0.89672914369717,Strength.STRONG,3.833511928905799e-12,True,32
random,3,1,MD_MF-DF,Default,0.8919514884233736,0.8919514884233736,Strength.STRONG,7.310165282082199e-12,True,32
random,3,1,AP_ALS-PCI,PCI,0.890481440646821,0.890481440646821,Strength.STRONG,8.862567065374721e-12,True,32
random,3,1,AP_ALS-PCI,ALS,0.9011392870268283,0.9011392870268283,Strength.STRONG,2.0532613806364706e-12,True,32
random,3,1,AP_ALS-PCI,Default,0.8875413450937155,0.8875413450937155,Strength.STRONG,1.2921848662502788e-11,True,32
random,3,1,PCI,ALS,0.8912164645350974,0.8912164645350974,Strength.STRONG,8.05179013642654e-12,True,32
random,3,1,PCI,Default,0.8989342153619992,0.8989342153619992,Strength.STRONG,2.8156248048749942e-12,True,32
random,3,1,ALS,Default,0.8890113928702683,0.8890113928702683,Strength.STRONG,1.071556454679137e-11,True,32
random,3,2,MDAP_MF-DF-ALS-PCI,MDA_MF-DF-ALS,0.7269386255053288,0.7269386255053288,Strength.MODERATE,2.4542178225890663e-06,True,32
random,3,2,MDAP_MF-DF-ALS-PCI,MDP_MF-DF-PCI,0.7243660418963616,0.7243660418963616,Strength.MODERATE,2.7711844070890402e-06,True,32
random,3,2,MDAP_MF-DF-ALS-PCI,MD_MF-DF,0.725101065784638,0.725101065784638,Strength.MODERATE,2.6770271634549904e-06,True,32
random,3,2,MDAP_MF-DF-ALS-PCI,AP_ALS-PCI,0.7262036016170526,0.7262036016170526,Strength.MODERATE,2.5412348155456198e-06,True,32
random,3,2,MDAP_MF-DF-ALS-PCI,PCI,0.7166482910694597,0.7166482910694597,Strength.MODERATE,3.958182334508962e-06,True,32
random,3,2,MDAP_MF-DF-ALS-PCI,ALS,0.7262036016170526,0.7262036016170526,Strength.MODERATE,2.5412348155456198e-06,True,32
