system,strategy,sample_size_source_t,sample_size,coverage_t,run,metric,coverage
BerkeleyDBC,random,1,10,3,1,ALS,0.6702033598585323
BerkeleyDBC,random,1,10,3,1,AP_ALS-PCI,0.66020761245674742
BerkeleyDBC,random,1,10,3,1,Default,0.7039106145251397
BerkeleyDBC,random,1,10,3,1,MDAP_MF-DF-ALS-PCI,0.65073891625615765
BerkeleyDBC,random,1,10,3,1,MDA_MF-DF-ALS,0.65073891625615765
BerkeleyDBC,random,1,10,3,1,MDP_MF-DF-PCI,0.65073891625615765
BerkeleyDBC,random,1,10,3,1,MD_MF-DF,0.65073891625615765
BerkeleyDBC,random,1,10,3,1,PCI,0.69453248811410462
BerkeleyDBC,random,1,10,1,2,ALS,1
BerkeleyDBC,random,1,10,1,2,AP_ALS-PCI,1
BerkeleyDBC,random,1,10,1,2,Default,1
BerkeleyDBC,random,1,10,1,2,MDAP_MF-DF-ALS-PCI,1
BerkeleyDBC,random,1,10,1,2,MDA_MF-DF-ALS,1
BerkeleyDBC,random,1,10,1,2,MDP_MF-DF-PCI,1
BerkeleyDBC,random,1,10,1,2,MD_MF-DF,1
BerkeleyDBC,random,1,10,1,2,PCI,1
BerkeleyDBC,random,1,10,2,2,ALS,0.89717741935483875
BerkeleyDBC,random,1,10,2,2,AP_ALS-PCI,0.89570552147239269
BerkeleyDBC,random,1,10,2,2,Default,0.90941385435168742
BerkeleyDBC,random,1,10,2,2,MDAP_MF-DF-ALS-PCI,0.89008620689655171
BerkeleyDBC,random,1,10,2,2,MDA_MF-DF-ALS,0.89008620689655171
BerkeleyDBC,random,1,10,2,2,MDP_MF-DF-PCI,0.89008620689655171
BerkeleyDBC,random,1,10,2,2,MD_MF-DF,0.89008620689655171
BerkeleyDBC,random,1,10,2,2,PCI,0.9064220183486239
BerkeleyDBC,random,1,10,3,2,ALS,0.72922192749778958
BerkeleyDBC,random,1,10,3,2,AP_ALS-PCI,0.72226066897347174
BerkeleyDBC,random,1,10,3,2,Default,0.76085781221841775
BerkeleyDBC,random,1,10,3,2,MDAP_MF-DF-ALS-PCI,0.71083743842364533
BerkeleyDBC,random,1,10,3,2,MDA_MF-DF-ALS,0.71083743842364533
BerkeleyDBC,random,1,10,3,2,MDP_MF-DF-PCI,0.71083743842364533
BerkeleyDBC,random,1,10,3,2,MD_MF-DF,0.71083743842364533
BerkeleyDBC,random,1,10,3,2,PCI,0.75356576862123614
BerkeleyDBC,distance,1,10,1,1,ALS,0.78787878787878785
BerkeleyDBC,distance,1,10,1,1,AP_ALS-PCI,0.78787878787878785
BerkeleyDBC,distance,1,10,1,1,Default,0.77142857142857146
BerkeleyDBC,distance,1,10,1,1,MDAP_MF-DF-ALS-PCI,0.78125
BerkeleyDBC,distance,1,10,1,1,MDA_MF-DF-ALS,0.78125
BerkeleyDBC,distance,1,10,1,1,MDP_MF-DF-PCI,0.78125
BerkeleyDBC,distance,1,10,1,1,MD_MF-DF,0.78125
