strategy,coverage_t,sample_size_source_t,metric_1,metric_2,rho,p_value,n_systems
solver,2,2,MDA_MF-DF-ALS,PCI,0.8506493506493505,1.0328766943533926e-06,21
solver,2,2,MDA_MF-DF-ALS,ALS,0.9519480519480519,3.249554352565228e-11,21
solver,2,2,MDA_MF-DF-ALS,Default,0.8116883116883117,7.950956683545589e-06,21
solver,2,2,MDP_MF-DF-PCI,MD_MF-DF,0.996103896103896,1.663852309360307e-21,21
solver,2,2,MDP_MF-DF-PCI,AP_ALS-PCI,0.9337662337662337,6.378436493263959e-10,21
solver,2,2,MDP_MF-DF-PCI,PCI,0.8818181818181818,1.2689598743183048e-07,21
solver,2,2,MDP_MF-DF-PCI,ALS,0.9402597402597404,2.4554749301342216e-10,21
solver,2,2,MDP_MF-DF-PCI,Default,0.8363636363636363,2.3196074473363646e-06,21
solver,2,2,MD_MF-DF,AP_ALS-PCI,0.92987012987013,1.0810361295691526e-09,21
solver,2,2,MD_MF-DF,PCI,0.8844155844155844,1.0382942326089123e-07,21
solver,2,2,MD_MF-DF,ALS,0.9363636363636364,4.40676072758876e-10,21
solver,2,2,MD_MF-DF,Default,0.8428571428571429,1.6217259154397358e-06,21
solver,2,2,AP_ALS-PCI,PCI,0.9181818181818181,4.463472446313269e-09,21
solver,2,2,AP_ALS-PCI,ALS,0.9909090909090909,5.107346152765078e-18,21
solver,2,2,AP_ALS-PCI,Default,0.8999999999999999,2.7927579624638857e-08,21
solver,2,2,PCI,ALS,0.9337662337662337,6.378436493263959e-10,21
solver,2,2,PCI,Default,0.9896103896103896,1.80692892694147e-17,21
solver,2,2,ALS,Default,0.916883116883117,5.157044710321438e-09,21
solver,3,2,MDAP_MF-DF-ALS-PCI,MDA_MF-DF-ALS,0.996103896103896,1.663852309360307e-21,21
solver,3,2,MDAP_MF-DF-ALS-PCI,MDP_MF-DF-PCI,0.9844155844155844,8.338447232167685e-16,21
solver,3,2,MDAP_MF-DF-ALS-PCI,MD_MF-DF,0.9753246753246754,6.334484986822819e-14,21
solver,3,2,MDAP_MF-DF-ALS-PCI,AP_ALS-PCI,0.961038961038961,4.592230591649312e-12,21
solver,3,2,MDAP_MF-DF-ALS-PCI,PCI,0.9051948051948051,1.7178408202774223e-08,21
solver,3,2,MDAP_MF-DF-ALS-PCI,ALS,0.9389610389610389,2.996681118684518e-10,21
solver,3,2,MDAP_MF-DF-ALS-PCI,Default,0.7818181818181819,2.8403268605185375e-05,21
solver,3,2,MDA_MF-DF-ALS,MDP_MF-DF-PCI,0.9779220779220777,2.2243213084278795e-14,21
solver,3,2,MDA_MF-DF-ALS,MD_MF-DF,0.9792207792207792,1.2567854031499648e-14,21
solver,3,2,MDA_MF-DF-ALS,AP_ALS-PCI,0.9675324675324675,8.33318722559804e-13,21
solver,3,2,MDA_MF-DF-ALS,PCI,0.9064935064935065,1.5147200069265974e-08,21
solver,3,2,MDA_MF-DF-ALS,ALS,0.9454545454545454,1.0560703726732175e-10,21
solver,3,2,MDA_MF-DF-ALS,Default,0.7870129870129869,2.3092786396607713e-05,21
solver,3,2,MDP_MF-DF-PCI,MD_MF-DF,0.9922077922077923,1.1867993950727362e-18,21
solver,3,2,MDP_MF-DF-PCI,AP_ALS-PCI,0.9597402597402598,6.238818356262163e-12,21
solver,3,2,MDP_MF-DF-PCI,PCI,0.9415584415584415,2.00299085397149e-10,21
solver,3,2,MDP_MF-DF-PCI,ALS,0.9389610389610389,2.996681118684518e-10,21
solver,3,2,MDP_MF-DF-PCI,Default,0.8155844155844156,6.62547299127025e-06,21
solver,3,2,MD_MF-DF,AP_ALS-PCI,0.9636363636363635,2.408687380463034e-12,21
solver,3,2,MD_MF-DF,PCI,0.9493506493506494,5.303856440147524e-11,21
solver,3,2,MD_MF-DF,ALS,0.9428571428571428,1.6262348159357704e-10,21
solver,3,2,MD_MF-DF,Default,0.8272727272727272,3.7338564670140105e-06,21
solver,3,2,AP_ALS-PCI,PCI,0.9272727272727272,1.5115207625362022e-09,21
solver,3,2,AP_ALS-PCI,ALS,0.9870129870129869,1.4901403238291642e-16,21
solver,3,2,AP_ALS-PCI,Default,0.8610389610389609,5.432846382166245e-07,21
solver,3,2,PCI,ALS,0.9311688311688312,9.09817300869989e-10,21
solver,3,2,PCI,Default,0.9428571428571428,1.6262348159357704e-10,21
solver,3,2,ALS,Default,0.8766233766233766,1.8697860892632524e-07,21
